destination,lead_time_days,nights,guests,channel,rate_usd,is_cancelled
Aruba,63,6,2,direct,338.33,0
Punta Cana,54,8,2,booking,143.54,0
San Juan,18,4,2,direct,276.09,0
Punta Cana,52,8,1,direct,174.12,0
Punta Cana,70,1,1,expedia,151.38,0
Montego Bay,52,2,1,booking,220.01,0
Castries,61,5,4,direct,304.01,0
Castries,184,4,2,booking,241.97,1
Punta Cana,98,8,2,booking,216.67,0
Castries,201,6,3,booking,244.1,0
Punta Cana,42,4,4,booking,165.93,1
Nassau,58,6,2,expedia,328.67,0
Punta Cana,69,3,1,expedia,160.62,1
Punta Cana,30,4,1,booking,183.77,1
Aruba,40,4,3,agent,347.91,0
San Juan,38,1,2,booking,234.74,0
Grand Cayman,29,4,1,direct,480.66,1
Castries,114,8,1,booking,280.28,0
Montego Bay,146,4,1,booking,227.57,1
Nassau,28,6,1,direct,314.05,1
Punta Cana,86,7,2,expedia,246.49,1
Grand Cayman,101,9,2,booking,362.78,1
Bridgetown,70,5,2,booking,241.48,0
San Juan,47,4,1,booking,123.36,0
Montego Bay,14,8,1,booking,260.69,0
Bridgetown,38,3,3,agent,285.3,0
Montego Bay,61,3,2,expedia,274.54,0
Negril,45,3,3,expedia,220.18,0
Providenciales,49,6,2,direct,347.14,0
Castries,34,4,3,direct,259.01,0
Providenciales,121,5,2,expedia,345.15,1
Montego Bay,135,8,2,booking,282.95,0
San Juan,58,4,2,direct,219.1,0
Castries,57,11,2,booking,312.11,0
Montego Bay,149,2,3,booking,226.56,0
Aruba,70,1,3,booking,231.17,0
Negril,20,7,1,direct,199.39,0
San Juan,26,4,2,booking,238.86,0
Nassau,29,6,3,agent,292.12,0
Nassau,6,4,3,booking,260.87,0
Providenciales,14,3,3,agent,367.61,0
Grand Cayman,28,2,2,agent,414.8,0
San Juan,61,7,2,booking,283.18,0
Montego Bay,34,9,2,direct,197.89,0
Providenciales,74,5,2,booking,343.02,1
Nassau,54,2,1,booking,277.41,1
Montego Bay,130,5,1,booking,272.71,1
Punta Cana,18,2,2,booking,193.33,0
Grand Cayman,24,7,1,expedia,356.71,0
Nassau,105,6,1,agent,351.06,0
Montego Bay,22,4,1,booking,244.34,0
Punta Cana,211,5,2,booking,192.23,1
Punta Cana,53,8,2,booking,100.59,0
Punta Cana,88,1,1,direct,163.1,0
Punta Cana,44,3,3,direct,167.36,0
Aruba,49,6,2,direct,331.17,0
Montego Bay,32,9,2,expedia,210.31,1
Aruba,62,8,2,booking,382.38,0
Aruba,43,5,1,direct,321.97,0
Bridgetown,3,7,3,agent,226.5,0
Grand Cayman,23,6,1,expedia,399.02,1
Aruba,44,5,3,expedia,266.53,0
Bridgetown,43,6,1,booking,284.66,0
Grand Cayman,31,7,1,agent,432.03,0
Punta Cana,20,4,3,agent,252.3,0
Negril,82,1,1,expedia,184.01,0
Providenciales,38,3,1,expedia,389.17,1
San Juan,27,1,2,booking,198.7,0
San Juan,12,1,2,direct,206.31,0
Nassau,36,6,2,expedia,330.63,1
Punta Cana,32,6,2,expedia,209.57,0
Negril,17,3,1,expedia,189.89,0
Negril,259,6,2,direct,156.19,0
San Juan,20,6,1,booking,264.76,0
Nassau,27,5,4,agent,361.36,1
Negril,17,5,3,booking,196.93,1
Montego Bay,32,8,2,expedia,261.05,0
Montego Bay,84,2,2,direct,246.97,0
Grand Cayman,84,7,1,direct,396.76,1
Punta Cana,73,6,2,booking,266.72,1
Grand Cayman,166,4,4,direct,422.64,1
Grand Cayman,37,6,1,booking,321.43,0
Nassau,32,3,2,agent,285.62,0
San Juan,150,7,2,direct,198.88,0
Nassau,29,4,2,expedia,252.87,0
Aruba,21,9,1,booking,278.54,1
Grand Cayman,28,3,3,booking,420.16,0
Montego Bay,47,6,2,direct,164.46,0
Castries,6,3,3,direct,284.19,0
Aruba,59,4,3,booking,299.48,0
Punta Cana,34,6,1,direct,139.51,0
Grand Cayman,72,6,2,agent,444.11,0
Providenciales,135,3,3,direct,429.13,1
Punta Cana,39,1,3,agent,180.76,0
Negril,57,4,2,booking,126.74,0
Montego Bay,8,8,1,direct,262.87,0
Bridgetown,30,1,2,booking,279.55,0
Providenciales,103,2,2,agent,351.25,0
Punta Cana,86,3,2,agent,145.38,0
Providenciales,28,4,3,booking,327.23,0
Bridgetown,26,1,1,expedia,296.8,0
Nassau,122,5,3,expedia,337.62,0
Nassau,63,3,2,booking,260.84,0
San Juan,5,5,3,direct,198.67,1
Bridgetown,18,6,2,booking,248.32,1
Castries,64,4,1,direct,274.48,0
Providenciales,64,2,2,booking,414.9,0
San Juan,50,5,2,direct,288.27,0
San Juan,49,7,1,expedia,221.85,1
Nassau,27,6,4,agent,244.92,0
Aruba,20,1,4,agent,333.97,0
Castries,41,8,1,booking,230.24,0
Negril,48,1,3,agent,180.86,0
Montego Bay,140,4,2,booking,205.3,0
Nassau,96,5,1,expedia,311.66,0
Punta Cana,14,4,1,booking,136.05,0
Providenciales,44,2,1,booking,247.39,1
Nassau,92,3,3,booking,311.76,0
Grand Cayman,74,8,3,agent,424.83,0
Aruba,57,3,1,direct,310.12,0
Castries,68,1,2,direct,283.04,0
San Juan,76,1,1,direct,260.29,0
Bridgetown,10,8,5,agent,237.08,0
Montego Bay,87,5,1,direct,203.38,0
San Juan,53,5,2,direct,203.09,0
San Juan,70,5,3,booking,217.57,0
Punta Cana,179,4,2,direct,211.52,0
Nassau,45,8,3,booking,284.81,0
Providenciales,35,6,3,direct,419.38,0
Castries,28,3,2,direct,281.3,0
Grand Cayman,81,2,1,booking,334.9,0
Nassau,100,7,1,booking,294.39,0
Providenciales,54,1,2,agent,335.63,0
Providenciales,70,3,3,expedia,436.77,0
San Juan,27,3,2,direct,261.75,0
San Juan,65,6,1,booking,255.6,1
Castries,80,4,1,booking,243.28,0
Punta Cana,123,3,2,agent,251.0,0
Montego Bay,43,3,2,direct,222.08,0
Bridgetown,67,6,3,booking,299.01,0
Nassau,10,5,1,direct,321.56,0
Castries,25,5,2,direct,287.07,0
Negril,24,4,2,booking,228.35,0
Punta Cana,35,4,2,expedia,195.52,0
San Juan,7,4,1,booking,226.47,1
Montego Bay,11,1,1,direct,213.66,0
Negril,18,2,2,agent,163.41,1
Punta Cana,44,5,3,agent,240.22,0
Aruba,18,3,3,direct,319.71,0
San Juan,30,5,3,direct,283.55,0
Negril,73,6,1,booking,266.9,0
Nassau,57,3,1,booking,284.17,0
Grand Cayman,37,7,2,booking,373.68,0
Grand Cayman,131,5,2,booking,350.97,1
Aruba,71,3,4,agent,345.96,1
Bridgetown,67,5,1,expedia,243.73,0
Nassau,33,8,3,direct,289.78,0
San Juan,40,3,2,agent,174.07,0
Punta Cana,11,6,3,direct,150.69,0
Negril,240,4,2,direct,203.05,0
San Juan,64,5,1,direct,222.3,1
Castries,38,3,2,direct,192.84,0
Negril,10,8,1,agent,215.65,0
Aruba,84,7,3,expedia,346.88,0
Bridgetown,113,1,3,booking,246.89,0
Providenciales,16,3,1,expedia,368.29,0
Punta Cana,15,8,1,booking,146.48,0
Providenciales,53,8,2,direct,327.7,0
Bridgetown,27,5,2,direct,329.02,0
Nassau,50,3,1,booking,295.04,1
Castries,40,1,2,expedia,217.03,0
Aruba,29,3,3,booking,333.82,0
Montego Bay,53,2,3,direct,169.82,0
Bridgetown,19,3,2,direct,288.91,0
Providenciales,58,10,1,direct,373.43,1
San Juan,51,4,1,booking,253.37,0
Providenciales,75,1,2,booking,324.88,0
Aruba,204,6,2,direct,279.69,0
Grand Cayman,22,3,3,booking,384.96,0
Grand Cayman,61,1,1,booking,343.2,0
Castries,91,3,4,direct,210.07,0
Castries,49,5,1,agent,292.84,1
Punta Cana,68,1,3,booking,222.27,0
Negril,145,2,1,booking,236.38,1
Providenciales,47,7,4,expedia,438.78,0
Montego Bay,147,6,2,booking,243.63,1
Grand Cayman,33,8,1,agent,449.37,0
San Juan,118,7,1,expedia,242.19,1
Punta Cana,37,3,1,expedia,157.38,1
Castries,13,4,2,direct,277.08,0
Grand Cayman,29,7,1,booking,382.13,1
Bridgetown,48,4,1,booking,270.7,0
Montego Bay,7,2,1,direct,184.95,0
Nassau,38,7,2,booking,243.48,0
Montego Bay,14,1,1,booking,182.91,0
Grand Cayman,46,4,3,direct,388.88,0
San Juan,131,3,3,booking,263.82,0
Castries,61,2,3,direct,252.73,0
Nassau,83,9,1,booking,289.32,0
Aruba,62,5,2,direct,354.39,0
Montego Bay,41,7,3,booking,233.88,0
Grand Cayman,59,9,2,booking,426.18,0
Aruba,13,5,1,agent,346.36,0
Punta Cana,65,6,2,booking,138.59,1
Nassau,76,6,2,direct,295.06,1
San Juan,67,1,2,direct,265.85,0
Nassau,21,5,1,booking,249.33,0
Aruba,63,9,1,direct,251.62,0
Aruba,51,7,2,booking,349.49,1
Montego Bay,81,5,2,booking,230.93,0
Negril,30,5,2,direct,245.79,0
Montego Bay,33,5,2,booking,325.58,0
Punta Cana,11,4,2,agent,290.75,1
Providenciales,24,2,3,agent,386.37,0
San Juan,30,5,2,booking,261.86,0
Castries,17,1,1,agent,296.97,0
Providenciales,24,3,1,agent,273.65,1
Grand Cayman,26,3,1,expedia,347.41,1
Bridgetown,38,4,1,booking,285.34,0
Montego Bay,76,4,1,expedia,205.27,0
Nassau,48,3,1,expedia,294.43,1
San Juan,63,3,2,direct,268.97,0
San Juan,113,7,2,booking,227.45,1
Bridgetown,11,5,2,direct,277.93,0
Nassau,82,4,3,expedia,334.22,0
Montego Bay,70,3,1,agent,224.64,0
Providenciales,47,7,3,booking,359.06,0
Bridgetown,33,1,2,agent,278.93,0
San Juan,83,3,4,booking,215.48,0
San Juan,23,5,3,booking,251.29,0
Grand Cayman,10,1,3,direct,440.21,0
Providenciales,108,1,2,expedia,376.98,0
Negril,73,3,2,direct,177.59,0
Negril,21,4,2,expedia,155.31,0
Bridgetown,20,6,3,booking,315.95,0
Punta Cana,70,6,2,booking,221.44,0
Grand Cayman,11,1,4,expedia,373.02,1
Montego Bay,82,3,1,agent,193.9,0
Grand Cayman,118,3,3,direct,342.64,0
Aruba,46,5,2,expedia,284.38,0
Grand Cayman,62,3,1,expedia,448.63,0
Punta Cana,21,1,3,booking,226.46,1
Aruba,121,4,3,expedia,347.94,1
Negril,18,4,1,expedia,235.63,0
Bridgetown,188,8,2,booking,302.89,0
Grand Cayman,32,5,3,booking,278.58,0
Providenciales,26,5,1,booking,375.82,0
Aruba,32,5,3,direct,294.16,0
Grand Cayman,56,1,2,direct,433.34,0
Punta Cana,36,8,2,direct,153.07,0
Negril,17,3,2,direct,267.14,0
Aruba,67,4,2,expedia,260.86,0
Punta Cana,2,3,1,booking,150.2,1
San Juan,34,4,1,booking,245.88,0
Nassau,27,1,2,booking,330.35,0
Providenciales,44,5,3,booking,269.98,0
Nassau,9,6,3,direct,318.94,0
Nassau,56,3,2,direct,299.57,0
Providenciales,41,7,1,booking,362.51,1
Grand Cayman,10,4,2,direct,412.64,0
Montego Bay,113,5,3,expedia,277.33,1
Providenciales,29,4,2,direct,344.95,0
Montego Bay,92,6,1,direct,200.37,1
Punta Cana,202,3,4,direct,118.33,0
Grand Cayman,290,7,2,booking,420.77,0
Grand Cayman,8,3,2,booking,421.17,0
Grand Cayman,20,4,1,booking,421.72,0
Negril,62,4,2,booking,196.64,0
Punta Cana,100,6,1,booking,132.69,1
Punta Cana,25,2,2,expedia,154.81,0
San Juan,17,2,3,booking,259.62,0
Bridgetown,40,3,3,booking,323.76,1
Bridgetown,93,1,2,expedia,209.07,1
Providenciales,50,6,2,booking,365.66,0
Aruba,14,4,2,booking,248.91,0
Bridgetown,49,3,1,expedia,252.17,0
Castries,25,7,2,agent,339.0,0
Punta Cana,24,5,1,expedia,122.43,1
Punta Cana,76,6,2,booking,113.61,0
San Juan,114,3,3,expedia,297.56,0
Castries,99,6,1,booking,235.77,0
Punta Cana,95,4,1,booking,223.14,1
Negril,18,3,1,agent,221.46,0
San Juan,86,4,1,booking,219.54,0
San Juan,22,9,1,direct,275.52,0
Grand Cayman,61,6,3,agent,421.68,0
Aruba,69,7,2,booking,265.28,0
Bridgetown,55,6,2,booking,333.89,0
Grand Cayman,8,7,2,agent,325.24,0
Nassau,39,4,2,agent,261.61,1
Montego Bay,19,2,1,direct,224.74,0
Punta Cana,35,3,2,booking,195.55,0
Negril,27,5,2,booking,185.07,0
Providenciales,49,4,2,direct,278.54,0
Grand Cayman,106,8,2,booking,414.0,1
San Juan,37,3,4,expedia,287.62,1
Providenciales,49,6,4,booking,471.59,0
Negril,50,5,2,direct,187.75,0
Grand Cayman,36,2,2,booking,381.35,0
Aruba,49,6,4,direct,326.43,0
Bridgetown,84,9,1,direct,259.17,0
Negril,70,5,1,direct,166.07,0
Montego Bay,127,4,1,booking,210.83,1
Castries,98,3,3,agent,275.87,0
San Juan,20,4,2,booking,217.97,0
Aruba,11,4,4,direct,397.03,1
Aruba,109,3,2,direct,416.05,1
Montego Bay,64,4,1,booking,213.52,1
Grand Cayman,216,6,2,direct,394.97,0
Grand Cayman,82,4,2,booking,380.78,0
Aruba,25,5,2,direct,304.98,0
Punta Cana,14,5,1,expedia,234.05,0
Castries,85,5,1,booking,310.6,1
Montego Bay,76,5,1,direct,168.99,0
Negril,63,2,3,direct,167.83,0
San Juan,36,4,2,expedia,229.19,0
Aruba,69,2,3,booking,305.21,0
Aruba,112,7,1,booking,307.33,0
Bridgetown,24,5,4,direct,296.67,0
San Juan,13,11,3,booking,271.89,0
Nassau,56,5,1,direct,300.06,0
Punta Cana,46,1,3,direct,150.38,0
Nassau,140,3,1,booking,261.17,0
Nassau,41,4,2,direct,231.02,1
Aruba,34,1,2,direct,350.24,0
Bridgetown,38,5,2,agent,332.13,0
Montego Bay,29,3,2,booking,202.39,0
Castries,19,3,4,booking,234.29,1
San Juan,43,3,1,direct,289.25,0
Providenciales,21,3,1,direct,455.4,1
Aruba,29,4,1,expedia,320.72,0
San Juan,148,1,1,agent,226.45,0
Castries,45,8,2,booking,292.18,0
Providenciales,33,5,1,direct,391.26,0
Grand Cayman,41,3,2,direct,356.07,1
Nassau,19,5,1,direct,360.05,0
Punta Cana,7,8,1,agent,160.15,0
Montego Bay,223,5,3,direct,290.3,0
Montego Bay,10,1,3,expedia,230.21,0
Nassau,38,2,1,expedia,303.76,0
Punta Cana,32,4,1,booking,173.6,0
San Juan,37,2,1,expedia,206.68,0
San Juan,51,3,1,direct,188.66,0
Castries,116,3,1,agent,305.53,0
Castries,69,8,1,booking,258.47,1
San Juan,21,5,1,expedia,216.48,0
Providenciales,79,5,2,booking,296.57,0
Negril,52,6,1,booking,150.63,1
Montego Bay,216,6,3,booking,167.02,0
Punta Cana,135,1,3,booking,175.11,0
Bridgetown,96,6,1,expedia,298.94,0
San Juan,26,6,2,booking,224.45,0
Punta Cana,63,6,2,direct,140.66,0
Aruba,43,5,3,expedia,327.63,0
Castries,33,5,2,direct,276.22,0
Aruba,110,8,2,direct,328.71,0
Nassau,178,4,4,direct,339.46,0
Montego Bay,189,5,1,expedia,254.52,1
Aruba,56,4,2,booking,284.15,0
San Juan,71,5,2,booking,247.14,0
Castries,128,4,1,direct,284.48,0
Providenciales,17,3,3,expedia,363.63,0
Punta Cana,18,3,2,direct,207.7,0
Grand Cayman,132,6,1,agent,284.67,0
Providenciales,102,5,2,booking,442.01,1
Castries,65,6,3,booking,211.19,0
Montego Bay,82,2,1,direct,209.42,0
Punta Cana,67,5,2,expedia,202.02,0
Aruba,59,6,2,direct,401.25,1
Negril,4,5,2,booking,181.64,0
Providenciales,60,7,3,direct,345.94,0
Providenciales,48,6,3,direct,319.68,0
Bridgetown,92,4,1,expedia,272.12,0
Providenciales,51,2,1,direct,364.16,0
Grand Cayman,51,7,1,expedia,470.65,1
Bridgetown,109,9,3,direct,260.61,0
Bridgetown,50,6,3,agent,213.0,0
Montego Bay,259,3,1,agent,151.0,0
Aruba,16,5,4,expedia,277.69,0
Aruba,40,7,2,expedia,285.01,1
Negril,105,2,1,expedia,176.01,1
Bridgetown,49,4,3,direct,288.11,0
Montego Bay,120,4,2,expedia,274.8,1
San Juan,28,1,2,direct,258.82,1
Grand Cayman,17,3,3,booking,442.38,0
Negril,17,6,1,booking,200.25,1
San Juan,88,2,1,expedia,264.28,0
Providenciales,93,4,1,booking,350.24,1
Providenciales,55,5,1,agent,401.19,0
San Juan,159,6,3,booking,280.27,1
Nassau,98,5,2,expedia,257.75,0
Punta Cana,31,7,1,booking,134.73,0
Bridgetown,229,4,1,expedia,255.69,1
Montego Bay,72,9,3,booking,182.79,0
Castries,91,6,2,booking,310.76,1
Montego Bay,77,3,2,expedia,240.93,1
San Juan,91,1,2,direct,257.91,0
Nassau,58,4,3,direct,266.79,0
Bridgetown,11,4,2,direct,383.64,0
Bridgetown,54,7,1,direct,329.76,0
Punta Cana,81,5,2,expedia,133.42,1
San Juan,86,5,1,expedia,242.22,0
Castries,88,6,2,booking,272.77,0
Providenciales,145,3,3,expedia,331.09,1
Grand Cayman,72,5,3,agent,336.28,0
Montego Bay,51,1,2,direct,196.99,0
Punta Cana,40,8,2,direct,237.11,1
Aruba,27,2,1,booking,272.72,0
Aruba,35,3,1,booking,272.03,0
Montego Bay,10,4,1,booking,195.94,0
Grand Cayman,43,4,3,booking,418.83,0
Bridgetown,68,5,3,booking,256.39,0
Castries,12,6,2,booking,225.13,0
Nassau,15,3,2,expedia,304.84,0
Bridgetown,21,2,2,booking,332.83,1
Aruba,42,4,1,booking,332.76,0
Providenciales,55,6,1,booking,399.05,1
Grand Cayman,74,3,1,direct,404.78,0
Providenciales,35,5,2,booking,338.75,0
Providenciales,43,3,1,direct,380.54,0
Montego Bay,21,4,2,direct,178.23,0
Nassau,112,4,2,booking,301.3,0
San Juan,35,5,1,direct,225.73,0
Bridgetown,4,3,2,agent,297.3,0
Negril,110,4,2,booking,180.3,0
Negril,10,5,3,booking,186.02,0
Bridgetown,38,5,2,booking,332.72,0
Grand Cayman,68,3,3,expedia,369.07,0
San Juan,55,1,2,booking,228.94,0
Montego Bay,16,2,3,booking,256.06,0
Aruba,58,7,3,direct,292.86,1
Montego Bay,87,8,1,booking,253.06,0
Grand Cayman,38,6,4,agent,308.92,0
Castries,47,4,1,direct,260.39,0
Montego Bay,103,3,1,booking,280.41,1
Aruba,12,5,1,booking,361.0,1
Punta Cana,95,6,2,agent,170.31,0
Providenciales,165,6,2,expedia,325.87,0
Negril,39,4,2,booking,226.61,0
Aruba,38,6,2,booking,372.17,0
Aruba,55,2,2,booking,351.74,0
Bridgetown,84,4,2,direct,288.35,0
Negril,73,7,1,booking,121.28,0
Providenciales,38,4,1,direct,375.46,0
Castries,24,4,1,direct,274.88,0
Castries,7,2,1,booking,271.58,0
Providenciales,59,5,3,expedia,398.25,0
Negril,126,5,2,expedia,217.26,1
Castries,78,4,2,booking,293.67,1
Grand Cayman,21,8,1,booking,354.57,0
Nassau,184,8,2,agent,333.19,0
Bridgetown,65,4,1,expedia,213.48,0
Grand Cayman,28,3,1,direct,361.9,0
San Juan,64,5,2,expedia,290.61,0
Punta Cana,91,4,2,booking,184.39,0
Grand Cayman,51,3,1,expedia,354.24,0
Providenciales,75,6,1,expedia,404.38,0
Punta Cana,17,1,2,booking,171.73,0
Montego Bay,10,7,2,booking,261.87,0
Punta Cana,175,2,2,booking,124.1,0
Providenciales,30,4,2,expedia,355.67,0
Punta Cana,40,2,3,agent,205.4,0
Grand Cayman,41,7,4,direct,390.66,0
Aruba,24,8,1,booking,333.64,0
Castries,57,3,1,direct,355.05,0
San Juan,60,5,3,expedia,197.7,0
Grand Cayman,126,6,2,direct,318.5,0
Castries,45,6,1,direct,219.8,0
Castries,105,2,1,booking,217.64,1
Grand Cayman,107,2,1,expedia,380.31,0
Aruba,14,7,3,agent,304.52,1
Punta Cana,36,3,1,booking,196.17,0
Negril,26,2,1,agent,132.42,1
Montego Bay,2,5,3,direct,223.63,0
Grand Cayman,160,4,3,direct,286.37,0
Nassau,97,8,1,booking,347.04,0
Castries,117,2,2,expedia,204.14,1
Punta Cana,24,1,2,direct,219.36,0
Aruba,54,5,3,expedia,267.28,0
Aruba,112,6,1,booking,304.35,1
Negril,5,4,2,direct,167.51,0
Punta Cana,11,5,2,direct,187.77,0
Punta Cana,121,4,3,direct,179.97,0
Negril,116,1,2,booking,212.5,0
Castries,8,3,1,direct,189.46,0
Grand Cayman,134,3,1,booking,377.39,0
Montego Bay,29,6,2,expedia,257.98,0
Aruba,51,5,1,direct,272.97,0
Providenciales,95,7,1,booking,343.49,1
Bridgetown,41,5,2,booking,272.04,0
Negril,53,3,2,booking,176.57,0
Providenciales,77,4,2,direct,372.62,0
Grand Cayman,16,4,1,direct,358.22,0
Castries,202,5,3,direct,267.18,0
Montego Bay,31,1,2,agent,206.07,0
Aruba,10,5,1,direct,290.49,0
Aruba,25,7,1,expedia,319.53,0
Nassau,30,5,1,booking,373.63,1
Bridgetown,10,3,1,booking,311.13,0
Grand Cayman,53,2,1,direct,392.15,0
Montego Bay,48,7,1,direct,170.78,1
Bridgetown,88,5,2,booking,307.17,0
Punta Cana,158,6,2,booking,259.29,0
Punta Cana,77,1,1,booking,138.18,1
San Juan,26,1,3,expedia,260.4,0
Aruba,79,5,1,booking,347.12,0
Grand Cayman,44,4,1,direct,358.32,0
Negril,59,1,2,direct,214.68,0
Montego Bay,15,4,3,direct,199.02,0
Aruba,65,4,1,booking,343.74,1
Castries,12,4,1,direct,270.86,0
Castries,25,5,1,direct,253.41,0
Castries,131,5,2,booking,275.29,1
Montego Bay,19,4,3,booking,271.6,0
Punta Cana,22,3,4,direct,178.44,0
Grand Cayman,30,5,3,direct,390.58,0
Bridgetown,75,7,3,expedia,314.72,0
San Juan,83,4,2,direct,257.72,0
Castries,32,4,1,booking,251.36,0
Negril,62,2,2,booking,277.88,0
Castries,52,6,1,booking,230.11,1
Punta Cana,4,2,1,expedia,186.38,0
Bridgetown,19,6,3,booking,287.0,1
Castries,99,4,2,direct,268.44,0
Bridgetown,50,4,1,agent,328.0,0
Castries,66,6,1,direct,334.5,0
Montego Bay,55,2,1,booking,185.9,0
Bridgetown,57,5,2,booking,291.61,1
Punta Cana,57,4,2,booking,254.33,0
Punta Cana,52,6,1,booking,196.05,1
San Juan,13,6,2,direct,240.61,0
Providenciales,16,5,2,direct,415.98,0
Nassau,9,4,2,direct,366.62,0
San Juan,33,2,2,booking,267.53,0
Negril,72,4,2,booking,262.71,0
Nassau,32,6,2,direct,354.98,0
Aruba,11,3,1,booking,331.28,0
Aruba,72,1,3,agent,298.73,1
Bridgetown,30,7,2,expedia,257.75,0
Punta Cana,84,5,2,booking,118.17,0
Aruba,16,6,2,direct,252.97,0
Bridgetown,28,5,4,direct,257.56,0
Grand Cayman,55,7,1,booking,365.07,0
Punta Cana,37,6,1,direct,256.73,0
Bridgetown,45,2,1,direct,245.63,0
Punta Cana,13,6,1,booking,189.09,0
Aruba,40,4,2,booking,358.02,0
San Juan,199,5,1,expedia,302.89,0
Montego Bay,27,5,2,booking,303.9,1
Negril,27,3,1,booking,145.79,0
Providenciales,154,5,4,direct,358.93,0
San Juan,127,4,2,agent,201.43,0
San Juan,71,5,2,expedia,166.99,0
Punta Cana,38,3,1,agent,167.06,0
San Juan,19,4,1,direct,258.46,0
Nassau,12,6,2,booking,218.26,0
Castries,42,5,3,direct,194.85,0
Providenciales,122,6,2,booking,309.73,0
Negril,135,2,1,direct,182.65,1
Punta Cana,69,7,3,booking,171.73,1
Bridgetown,48,5,4,booking,248.7,0
Montego Bay,29,5,2,booking,238.03,1
Negril,165,7,2,expedia,174.6,0
Nassau,64,7,4,booking,330.21,0
Negril,22,6,3,expedia,259.87,0
Castries,18,2,1,direct,316.32,0
Negril,14,6,1,booking,146.49,0
Nassau,83,3,1,booking,361.09,0
Punta Cana,24,8,3,expedia,194.26,0
San Juan,62,2,1,direct,285.34,1
Nassau,58,3,3,booking,269.58,1
Castries,13,6,1,booking,307.85,0
Negril,91,5,2,direct,150.31,0
Negril,11,5,2,booking,178.73,0
Punta Cana,87,4,1,booking,166.16,1
Nassau,147,4,4,expedia,299.05,1
Montego Bay,36,1,1,booking,268.29,1
Castries,140,5,2,expedia,242.12,1
Aruba,125,3,1,expedia,349.38,0
Castries,88,7,4,booking,221.1,1
Grand Cayman,15,5,2,agent,368.39,0
Montego Bay,39,3,1,agent,253.72,0
Punta Cana,9,6,1,booking,218.8,1
Negril,105,4,2,expedia,214.24,1
Nassau,111,4,2,expedia,292.59,1
Nassau,172,3,2,booking,279.13,0
Negril,46,6,2,direct,175.22,0
Bridgetown,76,5,2,booking,263.37,0
San Juan,57,6,1,direct,262.5,0
Punta Cana,57,2,1,expedia,239.37,0
Punta Cana,104,6,2,direct,139.24,1
Punta Cana,37,1,4,direct,245.37,0
Grand Cayman,30,1,1,expedia,359.31,1
Aruba,53,2,1,booking,367.33,0
Bridgetown,52,3,3,direct,347.74,0
Punta Cana,93,7,2,booking,201.65,0
San Juan,51,5,1,expedia,244.18,1
Punta Cana,39,4,2,agent,237.0,0
Providenciales,25,1,2,booking,349.68,0
Nassau,16,4,1,direct,283.83,1
Bridgetown,82,3,1,expedia,277.69,1
San Juan,23,2,2,booking,287.8,0
Negril,35,3,5,direct,192.06,0
Negril,7,3,1,direct,165.28,0
Negril,71,7,2,booking,205.25,0
Grand Cayman,20,5,4,direct,287.51,0
Nassau,151,4,1,booking,267.21,1
Providenciales,28,6,2,booking,398.81,0
Punta Cana,35,1,2,direct,145.98,0
Castries,154,2,3,expedia,230.44,1
Aruba,244,2,1,agent,307.51,1
San Juan,33,6,1,agent,271.12,0
Bridgetown,85,4,3,booking,296.13,0
Providenciales,18,5,2,direct,402.92,0
Castries,43,6,2,booking,223.94,0
Grand Cayman,135,7,2,booking,386.5,0
Castries,40,2,2,agent,212.01,0
Negril,16,4,1,direct,151.8,0
Montego Bay,79,2,2,booking,154.71,0
Bridgetown,11,3,2,direct,225.18,0
Grand Cayman,27,5,1,expedia,406.33,0
Providenciales,34,6,4,direct,342.09,0
Montego Bay,26,5,2,expedia,276.39,0
Castries,30,5,1,booking,285.96,0
Punta Cana,34,2,2,direct,253.03,0
Punta Cana,25,1,1,booking,206.73,0
Montego Bay,48,4,1,direct,234.76,0
Grand Cayman,107,8,2,direct,373.57,1
Nassau,52,5,2,booking,395.78,0
Montego Bay,3,7,2,direct,309.99,0
Grand Cayman,138,8,1,expedia,362.22,0
Nassau,181,5,1,direct,281.14,0
Bridgetown,5,5,1,booking,282.49,0
Nassau,55,6,1,booking,314.09,0
Punta Cana,30,3,1,agent,160.15,0
Bridgetown,11,2,2,booking,231.35,0
Providenciales,79,4,2,direct,391.17,0
Montego Bay,20,3,2,booking,223.2,0
Providenciales,28,1,1,agent,385.08,1
Aruba,129,1,1,booking,313.56,0
Negril,57,6,2,direct,202.31,0
Bridgetown,108,1,2,direct,248.84,0
Aruba,32,1,1,direct,373.71,0
Nassau,9,2,2,booking,358.77,0
Castries,81,2,2,booking,268.45,0
Grand Cayman,101,4,2,expedia,348.91,0
Providenciales,34,6,3,expedia,354.84,1
Bridgetown,68,4,2,direct,284.98,0
Grand Cayman,87,5,1,booking,395.24,0
Bridgetown,8,5,3,agent,299.36,0
Castries,22,4,1,direct,276.14,0
Punta Cana,205,3,3,booking,156.85,0
San Juan,17,5,3,direct,236.68,0
Nassau,22,5,3,direct,263.61,0
Castries,97,7,2,agent,177.12,1
Nassau,66,6,3,booking,301.77,0
Nassau,32,6,2,booking,293.46,0
Grand Cayman,100,6,2,booking,437.81,0
Castries,50,6,2,agent,205.36,0
Punta Cana,23,3,3,direct,264.84,0
Montego Bay,23,5,3,booking,215.96,0
Castries,116,4,1,agent,253.4,0
Punta Cana,8,5,1,direct,96.12,1
